workbook_file,sheet_name,header_row,headers_json,notes
全ページ変更管理.xlsx,Snapshot,1,"[""URL"", ""タイトル"", ""メタディスクリプション"", ""H1"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""OGPタイトル"", ""OGP説明"", ""OGP画像URL"", ""構造化データJSON-LD有無"", ""更新日時"", ""チェック日時""]",
全ページ変更管理.xlsx,ChangeLog,1,"[""URL"", ""項目名"", ""旧値"", ""新値"", ""変更日時""]",
各ブランドサイト管理＿メイン.xlsx,設定,1,"[""ドメイン名"", ""サイトマップ""]",
各ブランドサイト管理＿メイン.xlsx,概観,3,"[""対象"", ""ページ"", ""クリック"", ""表示"", ""CTR"", ""平均順位"", ""Δクリック"", ""Δ表示"", ""0クリック率"", ""低CTR率"", ""持ち直し率"", ""悪化率""]",ダッシュボード形式。3行目を主テーブルの見出しとして採用。
各ブランドサイト管理＿メイン.xlsx,概観_履歴,1,"[""日付"", ""粒度"", ""ドメイン"", ""分類"", ""ページ数"", ""クリック(1M)"", ""表示(1M)"", ""CTR"", ""平均順位"", ""Δクリック(1M)"", ""Δ表示(1M)"", ""0クリック率"", ""低CTR率"", ""持ち直し率"", ""悪化率"", ""更新タイムスタンプ""]",
各ブランドサイト管理＿メイン.xlsx,概観_未分類,1,"[""ドメイン"", ""URL"", ""分類(元データ)"", ""タイトル"", ""IMP_1M"", ""CLI_1M""]",
各ブランドサイト管理＿メイン.xlsx,TPのみ,1,"[""URL"", ""分類"", ""タイトル"", ""メタ"", ""タイトルLEN"", ""メタLEN"", ""更新日(lastmod)"", ""CLI_1M"", ""3M_CLI"", ""LY1_CLI"", ""LY3_CLI"", ""Δ1M_CLI"", ""Δ3M_CLI"", ""IMP_1M"", ""3M_IMP"", ""LY1_IMP"", ""LY3_IMP"", ""Δ1M_IMP"", ""Δ3M_IMP"", ""CTR_1M"", ""3M_CTR"", ""LY1_CTR"", ""LY3_CTR"", ""1M差分_CTR"", ""3M差分_CTR"", ""POS_1M"", ""3M_POS"", ""LY1_POS"", ""LY3_POS"", ""1M差分_POS"", ""3M差分_POS"", ""GCS基準日"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""構造化JSON""]",
各ブランドサイト管理＿メイン.xlsx,SPのみ,1,"[""URL"", ""分類"", ""タイトル"", ""メタ"", ""タイトルLEN"", ""メタLEN"", ""更新日(lastmod)"", ""CLI_1M"", ""3M_CLI"", ""LY1_CLI"", ""LY3_CLI"", ""Δ1M_CLI"", ""Δ3M_CLI"", ""IMP_1M"", ""3M_IMP"", ""LY1_IMP"", ""LY3_IMP"", ""Δ1M_IMP"", ""Δ3M_IMP"", ""CTR_1M"", ""3M_CTR"", ""LY1_CTR"", ""LY3_CTR"", ""1M差分_CTR"", ""3M差分_CTR"", ""POS_1M"", ""3M_POS"", ""LY1_POS"", ""LY3_POS"", ""1M差分_POS"", ""3M差分_POS"", ""GCS基準日"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""構造化JSON""]",
各ブランドサイト管理＿メイン.xlsx,natsui-sansu-juku.com,1,"[""URL"", ""分類"", ""タイトル"", ""メタ"", ""タイトルLEN"", ""メタLEN"", ""更新日(lastmod)"", ""CLI_1M"", ""3M_CLI"", ""LY1_CLI"", ""LY3_CLI"", ""Δ1M_CLI"", ""Δ3M_CLI"", ""IMP_1M"", ""3M_IMP"", ""LY1_IMP"", ""LY3_IMP"", ""Δ1M_IMP"", ""Δ3M_IMP"", ""CTR_1M"", ""3M_CTR"", ""LY1_CTR"", ""LY3_CTR"", ""1M差分_CTR"", ""3M差分_CTR"", ""POS_1M"", ""3M_POS"", ""LY1_POS"", ""LY3_POS"", ""1M差分_POS"", ""3M差分_POS"", ""GCS基準日"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""構造化JSON""]",
各ブランドサイト管理＿メイン.xlsx,dokkai-labo.tokyo,1,"[""URL"", ""分類"", ""タイトル"", ""メタ"", ""更新日(lastmod)"", ""CLI_1M"", ""3M_CLI"", ""LY1_CLI"", ""LY3_CLI"", ""Δ1M_CLI"", ""Δ3M_CLI"", ""IMP_1M"", ""3M_IMP"", ""LY1_IMP"", ""LY3_IMP"", ""Δ1M_IMP"", ""Δ3M_IMP"", ""CTR_1M"", ""3M_CTR"", ""LY1_CTR"", ""LY3_CTR"", ""1M差分_CTR"", ""3M差分_CTR"", ""POS_1M"", ""3M_POS"", ""LY1_POS"", ""LY3_POS"", ""1M差分_POS"", ""3M差分_POS"", ""GCS基準日"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""構造化JSON"", ""タイトルLEN"", ""メタLEN""]",
